"@timestamp","system.cpu.total.norm.pct"
"Oct 6, 2021 @ 14:46:53.553","68.67%"
"Oct 6, 2021 @ 14:46:52.553","68.525%"
"Oct 6, 2021 @ 14:46:51.553","69.50999999999999%"
"Oct 6, 2021 @ 14:46:50.553","67.235%"
"Oct 6, 2021 @ 14:46:49.553","68.715%"
"Oct 6, 2021 @ 14:46:48.553","67.315%"
"Oct 6, 2021 @ 14:46:47.553","68.445%"
"Oct 6, 2021 @ 14:46:46.553","65.99000000000001%"
"Oct 6, 2021 @ 14:46:45.553","70.89%"
"Oct 6, 2021 @ 14:46:44.553","67.41499999999999%"
"Oct 6, 2021 @ 14:46:43.553","68.74%"
"Oct 6, 2021 @ 14:46:42.553","68.03%"
"Oct 6, 2021 @ 14:46:41.553","70.87%"
"Oct 6, 2021 @ 14:46:40.553","66.83500000000001%"
"Oct 6, 2021 @ 14:46:39.553","68.975%"
"Oct 6, 2021 @ 14:46:38.553","68.08%"
"Oct 6, 2021 @ 14:46:37.553","67.56%"
"Oct 6, 2021 @ 14:46:36.553","68.455%"
"Oct 6, 2021 @ 14:46:35.553","66.925%"
"Oct 6, 2021 @ 14:46:34.553","70.445%"
"Oct 6, 2021 @ 14:46:33.553","69.18%"
"Oct 6, 2021 @ 14:46:32.553","69.16%"
"Oct 6, 2021 @ 14:46:31.553","68.475%"
"Oct 6, 2021 @ 14:46:30.553","68.615%"
"Oct 6, 2021 @ 14:46:29.553","66.6%"
"Oct 6, 2021 @ 14:46:28.553","67.6%"
"Oct 6, 2021 @ 14:46:27.553","65.85%"
"Oct 6, 2021 @ 14:46:26.553","66.88%"
"Oct 6, 2021 @ 14:46:25.553","66.05%"
"Oct 6, 2021 @ 14:46:24.553","66.38%"
"Oct 6, 2021 @ 14:46:23.553","67.975%"
"Oct 6, 2021 @ 14:46:22.553","66.09%"
"Oct 6, 2021 @ 14:46:21.553","68.45%"
"Oct 6, 2021 @ 14:46:20.553","64.86%"
