"@timestamp","system.cpu.total.norm.pct"
"Oct 6, 2021 @ 15:38:10.165","85.25999999999999%"
"Oct 6, 2021 @ 15:38:09.165","85.75%"
"Oct 6, 2021 @ 15:38:08.165","83.91%"
"Oct 6, 2021 @ 15:38:07.165","85.72%"
"Oct 6, 2021 @ 15:38:06.165","84.24000000000001%"
"Oct 6, 2021 @ 15:38:05.166","84.92%"
"Oct 6, 2021 @ 15:38:04.165","83.66%"
"Oct 6, 2021 @ 15:38:03.165","83.52%"
"Oct 6, 2021 @ 15:38:02.165","84.8%"
"Oct 6, 2021 @ 15:38:01.165","84.93%"
"Oct 6, 2021 @ 15:38:00.165","83.83500000000001%"
"Oct 6, 2021 @ 15:37:59.165","85.735%"
"Oct 6, 2021 @ 15:37:58.165","85.735%"
"Oct 6, 2021 @ 15:37:57.166","84.315%"
"Oct 6, 2021 @ 15:37:56.165","83.995%"
"Oct 6, 2021 @ 15:37:55.165","82.705%"
"Oct 6, 2021 @ 15:37:54.165","84.08500000000001%"
"Oct 6, 2021 @ 15:37:53.165","82.485%"
"Oct 6, 2021 @ 15:37:52.165","83.955%"
"Oct 6, 2021 @ 15:37:51.165","82.935%"
"Oct 6, 2021 @ 15:37:50.165","83.53999999999999%"
"Oct 6, 2021 @ 15:37:49.165","83.86%"
"Oct 6, 2021 @ 15:37:48.165","83.71%"
"Oct 6, 2021 @ 15:37:47.165","84.765%"
"Oct 6, 2021 @ 15:37:46.165","84.38499999999999%"
"Oct 6, 2021 @ 15:37:45.165","84.055%"
"Oct 6, 2021 @ 15:37:44.165","83.645%"
"Oct 6, 2021 @ 15:37:43.165","83.19%"
"Oct 6, 2021 @ 15:37:42.165","84.905%"
"Oct 6, 2021 @ 15:37:41.165","83.13%"
"Oct 6, 2021 @ 15:37:40.166","83.35%"
"Oct 6, 2021 @ 15:37:39.165","84.225%"
"Oct 6, 2021 @ 15:37:38.165","85.34%"
"Oct 6, 2021 @ 15:37:37.165","82.715%"
"Oct 6, 2021 @ 15:37:36.165","82.13%"
"Oct 6, 2021 @ 15:37:35.165","83.28%"
"Oct 6, 2021 @ 15:37:34.165","81.71000000000001%"
"Oct 6, 2021 @ 15:37:33.165","83.75999999999999%"
"Oct 6, 2021 @ 15:37:32.165","83.61%"
